Day	Video Completion Rate %	25% Video Complete	50% Video Complete	75% Video Complete	100% Complete	Video Starts	Valor investido	Criativo
01/09/2025	0,97811	861	859	855	845	893	388,7	Sonho 30s
02/09/2025	0,98921	740	729	718	699	741	321,54	Sonho 30s
03/09/2025	0,97131	2988	2963	2956	2943	2991	1353,78	Sonho 30s
04/09/2025	0,99783	2856	2853	2851	2847	2891	1309,62	Sonho 30s
05/09/2025	0,98391	3967	3957	3941	3884	3981	1786,64	Sonho 30s
06/09/2025	0,9719	1761	1744	1735	1719	1771	790,74	Sonho 30s
07/09/2025	0,98821	2879	2873	2871	2869	2899	1319,74	Sonho 30s
